objtype;Navn;egenskapsId;navn;viktighet;Lengde egenskap;Areal egenskap
144;Plastring/Erosjonssikring;4820;Utgår_Geometri, linje;HISTORISK;;Areal
144;Plastring/Erosjonssikring;8878;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
145;Membran;4821;Geometri, hjelpelinje;OPSJONELL;;Areal
145;Membran;8907;Geometri, flate;OPSJONELL;;Areal
147;Bergrom;8934;Utgår_Geometri, linje;HISTORISK;;
147;Bergrom;10964;Geometri, flate;BETINGET;;
167;Sensor i vegbanen;12054;Geometri, linje;OPSJONELL;Lengde;Areal
172;Trafikkdeler;4834;Geometri, linje;OPSJONELL;Lengde;Areal
172;Trafikkdeler;8879;Geometri, flate;BETINGET;Lengde;Areal
174;Gangfelt;9434;Geometri, linje;OPSJONELL;;Belegning, areal
174;Gangfelt;12089;Geometri, flate;BETINGET;;Belegning, areal
183;Kabelbru/stige;4839;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
199;Trær;4840;Geometri, linje;BETINGET;;Areal
199;Trær;5903;Geometri, flate;BETINGET;;Areal
208;Basseng/Magasin;8881;Geometri, flate;BETINGET;;Areal
208;Basseng/Magasin;9435;Utgår_Geometri, linje;HISTORISK;;Areal
226;Bærelag;4860;Geometri, hjelpelinje;OPSJONELL;;
226;Bærelag;8882;Geometri, flate;OPSJONELL;;
227;Forsterkningslag;4861;Geometri, hjelpelinje;OPSJONELL;;
227;Forsterkningslag;8883;Geometri, flate;OPSJONELL;;
229;Frostsikringslag;4863;Geometri, hjelpelinje;OPSJONELL;;
229;Frostsikringslag;8885;Geometri, flate;OPSJONELL;;
234;Voll;4864;Geometri, linje;BETINGET;Lengde;
234;Voll;8886;Geometri, flate;OPSJONELL;Lengde;
241;Vegdekke;4867;Geometri, hjelpelinje;OPSJONELL;;Areal
241;Vegdekke;8887;Geometri, flate;OPSJONELL;;Areal
269;Vegskulder/Vegkant;4876;Geometri, linje;OPSJONELL;;
270;Skråning;4877;Geometri, linje;OPSJONELL;Lengde;Areal
270;Skråning;8890;Geometri, flate;BETINGET;Lengde;Areal
274;Blomsterbeplantning;4881;Geometri, linje;OPSJONELL;;Areal
274;Blomsterbeplantning;8891;Geometri, flate;BETINGET;;Areal
278;Ventilasjonsanlegg;8933;Geometri, linje;BETINGET;;
284;Tilstand/skade, rekkverk;4886;Geometri, linje;OPSJONELL;;
291;Viltfare;4890;Geometri, hjelpelinje;OPSJONELL;Lengde;
293;Breddemåling;4892;Geometri, linje;OPSJONELL;;
294;Tilstand/skade, strekning;4893;Geometri, linje;OPSJONELL;;
300;Naturområde;4897;Utgår_Geometri, linje;HISTORISK;;Areal
300;Naturområde;10566;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
301;Kantklippareal;4898;Geometri, linje;BETINGET;;Areal
301;Kantklippareal;9136;Geometri, flate;BETINGET;;Areal
302;Tilstand/skade, grøft;4899;Geometri, linje;OPSJONELL;;
303;Undergrunn;4900;Geometri, hjelpelinje;OPSJONELL;;
303;Undergrunn;8908;Geometri, flate;OPSJONELL;;
318;Snø-/isrydding;4909;Geometri, linje;OPSJONELL;;Areal
335;Avstandsmåling;4912;Geometri, linje;OPSJONELL;;
445;Skred;4963;Geometri, linje;OPSJONELL;Blokkert veglengde;
445;Skred;8912;Geometri, flate;OPSJONELL;Blokkert veglengde;
447;Tunnelløp uten trafikk;8920;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
448;Tunnelsjakt;8921;Geometri, linje;BETINGET;Lengde;
449;Luminansmåling;4967;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
451;Sykkelparkering;8922;Utgår_Geometri, linje;HISTORISK;;
451;Sykkelparkering;10962;Geometri, flate;BETINGET;;
452;Undergang;4970;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
453;Utgår_Elektrostatisk rensesløyfe;8924;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
470;Antenne;10579;Geometri, linje;BETINGET;;
474;Brannslokningsanlegg;10079;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
478;Branndetektor;4994;Utgår_Geometri, linje;HISTORISK;Utgår_Lengde;
485;Vegstengning;4999;Geometri, hjelpelinje;OPSJONELL;;
487;Holdeplassutrustning;8926;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Plattform, lengde;Assosierte Utgår_Repos/venteareal,Leskur, areal tilpasset rullestol,Plattform, areal
498;Viltskremmere/varslere;5003;Geometri, linje;OPSJONELL;;
503;Sideareal tunnel;5008;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
504;Kryssingsmulighet/Åpning;8927;Geometri, linje;BETINGET;;
507;Tilstand/skade FU, strekning;5011;Geometri, linje;OPSJONELL;;
508;Grøntanlegg;5012;Utgår_Geometri, linje;HISTORISK;;
508;Grøntanlegg;7587;Geometri, flate;BETINGET;;
511;Busker;5013;Geometri, linje;OPSJONELL;;Areal
511;Busker;8892;Geometri, flate;BETINGET;;Areal
517;Artsrik vegkant;5018;Geometri, linje;OPSJONELL;;Areal
517;Artsrik vegkant;8895;Geometri, flate;BETINGET;;Areal
518;Siktsone;5019;Utgår_Geometri, linje;HISTORISK;Lengde primærveg,Lengde sekundærveg;Areal innenfor kantklipp,Areal utenfor kantklipp
518;Siktsone;8896;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;Lengde primærveg,Lengde sekundærveg;Areal innenfor kantklipp,Areal utenfor kantklipp
519;Vegoppmerking, tverrgående;9395;Geometri, linje;BETINGET;Lengde;Areal
529;Tilstand/skade, skulder/kant;5029;Geometri, linje;OPSJONELL;;
534;Region;4708;Geometri, flate;OPSJONELL;;
537;Vegavdeling;4711;Geometri, flate;OPSJONELL;;
538;Adresse;5037;Geometri, hjelpelinje;OPSJONELL;;
540;Trafikkmengde;5042;Geometri, hjelpelinje;OPSJONELL;;
541;Vegstandard;5041;Geometri, hjelpelinje;OPSJONELL;;
575;Utgår_Fysisk tiltak;6919;Utgår_Geometri, hjelpelinje;HISTORISK;;
576;Standardklasse;6920;Geometri, hjelpelinje;OPSJONELL;;
577;Vegfunksjon;6921;Geometri, hjelpelinje;OPSJONELL;;
579;Politidistrikt;5171;Geometri, flate;OPSJONELL;;
580;Kontraktsområde;5172;Geometri, flate;OPSJONELL;;
583;Vegbredde;6923;Geometri, hjelpelinje;OPSJONELL;;
591;Høydebegrensning;6924;Geometri, linje;BETINGET;;
595;Motorveg;6908;Geometri, hjelpelinje;OPSJONELL;;
596;Forkjørsveg;6836;Geometri, hjelpelinje;OPSJONELL;;
600;Utgår_Landskapsverdi;6912;Utgår_Geometri, hjelpelinje;HISTORISK;;
603;PMS-parsell;6913;Geometri, hjelpelinje;OPSJONELL;;
604;Vegnormalstrekning;6914;Geometri, hjelpelinje;OPSJONELL;;
605;Værrelatert strekning;6915;Geometri, hjelpelinje;OPSJONELL;;
607;Vegsperring;6837;Geometri, linje;OPSJONELL;;
609;Armeringsnett;6906;Geometri, hjelpelinje;OPSJONELL;;Areal
609;Armeringsnett;8898;Geometri, flate;OPSJONELL;;Areal
613;Filterlag;6917;Geometri, hjelpelinje;OPSJONELL;;
613;Filterlag;8899;Geometri, flate;OPSJONELL;;
614;Vegdekke, fresing;6903;Geometri, hjelpelinje;OPSJONELL;;
614;Vegdekke, fresing;8900;Geometri, flate;OPSJONELL;;
615;Utgår_Vegflate;6904;Utgår_Geometri, hjelpelinje;HISTORISK;;
615;Utgår_Vegflate;8901;Geometri, flate;HISTORISK;;
625;Skredmagasin/Fanggrøft;6872;Utgår_Geometri, linje;HISTORISK;Lengde;
625;Skredmagasin/Fanggrøft;8902;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;Lengde;
628;Vegdekke, sporfylling;6900;Geometri, hjelpelinje;OPSJONELL;;
629;Vegdekke, flatelapping;6901;Geometri, hjelpelinje;OPSJONELL;;Areal
629;Vegdekke, flatelapping;8903;Geometri, flate;OPSJONELL;;Areal
631;Vegkommentar;11519;Geometri, linje;OPSJONELL;;
631;Vegkommentar;11518;Geometri, flate;OPSJONELL;;
639;Kurvatur, horisontalelement;6898;Geometri, hjelpelinje;OPSJONELL;;
640;Kurvatur, vertikalelement;6899;Geometri, hjelpelinje;OPSJONELL;;
705;Sykkelrute, nasjonal;6897;Geometri, linje;BETINGET;;
751;Utgår_Holdeplass;8931;Geometri, linje;HISTORISK;;
751;Utgår_Holdeplass;8910;Geometri, flate;HISTORISK;;
752;Utgår_Stoppunkt;8930;Geometri, linje;HISTORISK;;
767;Utgår_Repos/venteareal;8867;Utgår_Geometri, linje;HISTORISK;;Utgår_Areal
771;Byggegrense;8870;Geometri, linje;OPSJONELL;;
777;Turistveg;8131;Geometri, hjelpelinje;OPSJONELL;;
783;Fysisk inngrep i vannforekomst;8824;Geometri, flate;BETINGET;;
784;Kjemisk påvirkning av vannforekomst;8826;Geometri, flate;OPSJONELL;;
786;Kulturminne, vegminne;10582;Geometri, linje;BETINGET;;
786;Kulturminne, vegminne;10583;Geometri, flate;BETINGET;;
791;Avrettingslag;8874;Geometri, hjelpelinje;OPSJONELL;;
791;Avrettingslag;13067;Geometri, flate;OPSJONELL;;
799;Jordvoll mot bergskjæring;9299;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
800;Fremmede arter;9123;Geometri, linje;OPSJONELL;;Areal
800;Fremmede arter;10965;Geometri, flate;BETINGET;;Areal
808;Referansestrekning;11520;Geometri, linje;OPSJONELL;;
809;Døgnhvileplass;9284;Geometri, flate;BETINGET;;Areal, totalt,Areal, kjørbart
810;Vinterdriftsklasse;9301;Geometri, hjelpelinje;OPSJONELL;;
812;Gatevarme;9312;Utgår_Geometri, linje;HISTORISK;;Areal
812;Gatevarme;10426;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
813;Gågate;9322;Geometri, hjelpelinje;OPSJONELL;;
815;Avkjørsel, holdningsklasse;9321;Geometri, hjelpelinje;OPSJONELL;;
821;Funksjonell vegklasse;11844;Geometri, hjelpelinje;OPSJONELL;;
834;Tilstand/skade, bergskjæring;9542;Geometri, linje;OPSJONELL;;
835;Gangadkomst;9462;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
836;Vegoppmerking, forsterket;10258;Geometri, linje;BETINGET;;
837;Belegning;9514;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
838;Vegbredde, beregnet;12577;Geometri, hjelpelinje;OPSJONELL;;
843;Kabelgrøft;9578;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
844;Nedføringsrenne;9583;Geometri, linje;BETINGET;Lengde;
845;Fanggjerde;9604;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
846;Bremsekjegler, snøskred;9623;Utgår_Geometri, linje;HISTORISK;Lengde bunn kjegle;
846;Bremsekjegler, snøskred;9624;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;Lengde bunn kjegle;
848;Snøskjerm;9641;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
849;Skred, varsling/overvåkning;9652;Utgår_Geometri, linje;HISTORISK;;
849;Skred, varsling/overvåkning;9651;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
850;Støtteforbygning, snø;9663;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;Utgår_Sikra areal
850;Støtteforbygning, snø;9662;Utgår_Geometri, flate;HISTORISK;;Utgår_Sikra areal
851;Skredutløsningstiltak;9670;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
852;Trekkerør/kanal;9721;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
853;Trekkekum;9736;Utgår_Geometri, linje;HISTORISK;Lengde, ytre;
857;Brøyterode;11243;Geometri, flate;OPSJONELL;;
857;Brøyterode;12144;Geometri, linje;OPSJONELL;;
858;Strørode;11244;Geometri, flate;OPSJONELL;;
858;Strørode;12142;Geometri, linje;OPSJONELL;;
859;Taktile indikatorer;9813;Geometri, linje;OPSJONELL;Lengde;Areal
859;Taktile indikatorer;10968;Geometri, flate;BETINGET;Lengde;Areal
860;Evakueringsbelysning;9898;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Standard lengde LED-seksjoner;
861;Ledelysstrekning, optisk;9915;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;;
872;Faunapassasje;10241;Geometri, flate;BETINGET;Lengde;
875;Trapp;10734;Geometri, flate;BETINGET;Lengde;
876;Overvannsrenne;10447;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
877;Tilstandsgrad, sidegrøft dyp;10515;Geometri, linje;OPSJONELL;TG Terskler/lengdefall,Merknad Terskler/lengdefall,Lengde;
878;Tilstandsgrad, stikkrenne/kulvert;10531;Geometri, linje;OPSJONELL;TG Setning, deformasjon, mangelfullt lengdefall,Merknad Setning, deform, mangelfullt lengdefall;
882;Vannhåndteringsanlegg;10785;Utgår_Geometri, linje;HISTORISK;;
882;Vannhåndteringsanlegg;10669;Geometri, flate;OPSJONELL;;
884;Feierode;11245;Geometri, flate;OPSJONELL;;
884;Feierode;12143;Geometri, linje;OPSJONELL;;
895;VegROS;11011;Geometri, hjelpelinje;OPSJONELL;;
897;Kalksementpeler;10789;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
899;Tilstandsgrad, skjerm;10830;Geometri, linje;OPSJONELL;;
911;Nullutslippssone (test);11215;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
925;Stagforankring;11348;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;Staglengde, maks;
926;Peler/plate;11349;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;Pellengde, maks;Areal
927;Saltstabilisering;11350;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
928;Vertikaldren;11351;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
929;Masseutskifting;11352;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
930;Fylling (Volum);11353;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;Areal
938;Gravetillatelse;11517;Geometri, linje;BETINGET;;
938;Gravetillatelse;12703;Geometri, flate;BETINGET;;
943;Lavutslippssone GeoSUM (test);11750;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
944;Hastighetssone GeoSUM (test);11755;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
947;Tilstandsgrad, rekkverk;11793;Geometri, linje;OPSJONELL;;
953;Sykkelfelt;11941;Geometri, linje;BETINGET;;Areal
953;Sykkelfelt;11948;Geometri, flate;OPSJONELL;;Areal
955;Kulturminne, bygning;12024;Geometri, linje;BETINGET;;
955;Kulturminne, bygning;12026;Geometri, flate;BETINGET;;
956;Kulturminne, øvrig;12025;Geometri, linje;BETINGET;;
956;Kulturminne, øvrig;12027;Geometri, flate;BETINGET;;
962;Geoflow sone;12141;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
968;Område, generelt;12239;Geometri, flate;PÅKREVD_IKKE_ABSOLUTT;;
988;Brufuge;12740;Geometri, linje;PÅKREVD_IKKE_ABSOLUTT;Lengde;
989;Brannbeskyttelse;12741;Geometri, hjelpelinje;OPSJONELL;;Areal
992;Strålekabel (test);12744;Geometri, linje;OPSJONELL;;
1002;Kulturminne, kulturmiljø;13054;Geometri, linje;BETINGET;;
1002;Kulturminne, kulturmiljø;13053;Geometri, flate;BETINGET;;
